,Product Name,Offer,Camera,Memory,Battery,Display,Ratting Number,Sale Price,Actual Price,No of Reviews,No of Rattings
602,"Apple iPhone 17 (Black, 512 GB)",No Offer,48MP + 48MP | 18MP Front Camera,512 GB ROM,"A19 Chip, 6 Core Processor Processor",16.0 cm (6.3 inch) Super Retina XDR Display,4.7,102900,102900,4850,261
603,"POCO C71 (Cool Blue, 64 GB)",13% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,3.9,7799,8999,57971,2557
604,"POCO M7 Plus 5G (Aqua Blue, 128 GB)",16% off,50MP AI Dual Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3,14999,17999,3988,230
605,"Samsung M36 5G (Velvet Black / Black, 128 GB)",26% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.3,16888,22999,1947,104
606,"Samsung Galaxy A16 5G (Blue Black, 128 GB)",21% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2,15682,19999,4458,197
607,"Samsung Galaxy A16 5G (Gold, 128 GB)",21% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2,15664,19999,4458,197
608,"Samsung Galaxy F36 5G (Black, 256 GB)",18% off,50MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2,22499,27499,4782,320
609,"REDMI 13 5G (Black Diamond, 128 GB)",26% off,108MP Rear Camera,8 GB RAM | 128 GB ROM,5030 mAh Battery,17.25 cm (6.79 inch) Display,4.2,14753,19999,15051,790
610,"realme 14 Pro+ 5G (Suede Grey, 512 GB)",5% off,50MP + 50MP + 8MP | 32MP Front Camera,12 GB RAM | 512 GB ROM,6000 mAh Battery,17.35 cm (6.83 inch) Display,4.4,37999,39999,8965,963
611,Jmax JOSH PRO,53% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,4.5 cm (1.77 inch) Display,3.8,699,1499,90,6
612,"Samsung Galaxy M16 5G (Thunder Black, 128 GB)",14% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4.2,14995,17499,1271,61
613,"realme 15T 5G (Flowing Silver, 256 GB)",No Offer,50MP + 2MP | 50MP Front Camera,8 GB RAM | 256 GB ROM,7000 mAh Battery,16.69 cm (6.57 inch) Full HD Display,4.3,24999,24999,6256,404
614,"OPPO K13 Turbo 5G (White Knight, 128 GB)",17% off,50MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.27 cm (6.8 inch) Full HD+ Display,4.5,27999,33999,8486,518
615,"OPPO K13 Turbo 5G (Purple Phantom, 128 GB)",17% off,50MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.27 cm (6.8 inch) Full HD+ Display,4.5,27999,33999,8486,518
616,"OPPO K13 Turbo 5G (White Knight, 256 GB)",16% off,50MP + 2MP | 16MP Front Camera,8 GB RAM | 256 GB ROM,7000 mAh Battery,17.27 cm (6.8 inch) Full HD+ Display,4.5,29999,35999,8486,518
617,"POCO F7 5G (Phantom Black, 512 GB)",5% off,50MP Rear Camera | 20MP Front Camera,12 GB RAM | 512 GB ROM,7550 mAh Li-Polymer + Silicon Carbon Battery,17.35 cm (6.83 inch) Display,4.4,35999,37999,21347,2042
618,"realme 14x 5G (Crystal Black, 128 GB)",11% off,50MP Rear Camera | 8MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.4,15999,17999,8547,424
619,itel Ace2 Power,No Offer,2500 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,"12+1 Months Domestic Warranty for device
6 months for accessories",4.57 cm (1.8 inch) Display,4.1,1399,1399,889,45
620,"Samsung Galaxy Z Fold6 5G (Silver Shadow, 256 GB)",33% off,50MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Lithium ion Battery,19.3 cm (7.6 inch) QXGA+ Display,4.2,109990,164999,251,14
621,"realme P3 Lite 5G (Onyx Black, 128 GB)",17% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) Display,4.4,10749,12999,9486,381
622,"realme 14 Pro+ 5G (Bikaner Purple, 128 GB)",27% off,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,6000 mAh Battery,17.35 cm (6.83 inch) Display,4.4,24780,33999,19366,2199
623,"realme P3 Lite 5G (Jade Green, 128 GB)",7% off,32MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) Display,4.4,12999,13999,12378,503
624,"LAVA Storm Lite 5G (Astral Blue,, 64 GB)",17% off,50MP Rear Camera,4 GB RAM | 64 GB ROM,5000 mAh Battery,16.76 cm (6.6 inch) Display,4.2,9029,10990,134,10
625,Kechaoda A27,40% off,0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) QVGA Display,4,899,1499,16259,869
626,"Coolpad CP12 Neo (Blue, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
627,"REDMI 15 5G (Frosted White, 128 GB)",8% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3,15629,16999,1468,89
628,"Apple iPhone 16 Plus (Black, 128 GB)",No Offer,48MP + 12MP | 12MP Front Camera,128 GB ROM,"A18 Chip, 6 Core Processor Processor",17.02 cm (6.7 inch) Super Retina XDR Display,4.6,79900,79900,4342,229
629,"Apple iPhone 16 Plus (Pink, 256 GB)",No Offer,48MP + 12MP | 12MP Front Camera,256 GB ROM,"A18 Chip, 6 Core Processor Processor",17.02 cm (6.7 inch) Super Retina XDR Display,4.6,89900,89900,4342,229
630,Kechaoda K9,26% off,0.3MP Rear Camera,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,1700 mAh Battery,6.1 cm (2.4 inch) QVGA Display,4.1,1249,1700,3746,305
631,"Fuziqra Rock X Flip Dual Sim |Keypad Mobile| with 1.8"" Display Call & SMS Indicator",56% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,2000 mAh Battery,4.57 cm (1.8 inch) Display,3.8,1424,3299,22,0
632,"Samsung Galaxy A55 5G (Awesome Iceblue, 128 GB)",20% off,50MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4,33999,42999,6918,419
633,"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)",10% off,50MP + AI Lens | 8MP Front Camera,6 GB RAM | 128 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.3,13499,14999,16632,1460
