,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
776,"KARBONN K9 Jumbo,Dual Keypad Mobile,2.4 Big LCD,2MP Camera,1800mAh Battery,FM,Vibratore","₹1,498₹1,89020% off",872 Ratings & 34 Reviews,20% off,2MP + 0MP | 2MP Front Camera,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1800 mAh Battery,6.1 cm (2.4 inch) QVGA Display,4.1
777,"OnePlus 15 5G (Infinite Black, 256 GB)","₹72,262₹76,9996% off",72 Ratings & 8 Reviews,6% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,7300 mAh Battery,17.22 cm (6.78 inch) Display,4.8
778,"Samsung Galaxy A17 5G (Black, 128 GB)","₹19,989₹23,49914% off",500 Ratings & 25 Reviews,14% off,50MP + 5MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
779,"vivo Y400 5G (Glam White, 256 GB)","₹24,999₹27,99910% off",663 Ratings & 24 Reviews,10% off,50MP + 2MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.4
780,"vivo Y400 5G (Olive Green, 256 GB)","₹24,999₹27,99910% off",663 Ratings & 24 Reviews,10% off,50MP + 2MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.12 cm (6.74 inch) Display,4.4
781,"vivo V60 5G (Moonlit Blue, 256 GB)","₹40,999₹45,99910% off","1,356 Ratings & 105 Reviews",10% off,50MP + 8MP + 50MP | 50MP Front Camera,12 GB RAM | 256 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Display,4.5
782,"OPPO Reno15 Pro Mini 5G (Crystal Pink, 256 GB)","₹59,999₹64,9997% off",288 Ratings & 67 Reviews,7% off,200MP + 50MP + 50MP | Yes,12 GB RAM | 256 GB ROM,6200 mAh Battery,16.05 cm (6.32 inch) Full HD+ Display,4.7
783,HOTLINE H310,₹469₹99953% off,"7,518 Ratings & 491 Reviews",53% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,4.57 cm (1.8 inch) Display,3.5
784,"REDMI A5 (Just Black, 128 GB)","₹8,999₹9,99910% off","4,887 Ratings & 233 Reviews",10% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
785,"OPPO A59 5G (Silk Gold, 128 GB)","₹15,100₹19,99924% off","2,793 Ratings & 133 Reviews",24% off,13MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.66 cm (6.56 inch) HD+ Display,4.3
786,"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)","₹10,499₹12,99919% off","1,55,766 Ratings & 7,470 Reviews",19% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.2
787,itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB,"₹870₹1,09920% off",355 Ratings & 19 Reviews,20% off,1000 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1 year manufacturer Warranty,4.57 cm (1.8 inch) Display,4
